english,czech
to learn,učit se
I learn,učím se
you learn,učíš se
he/she/it learns,učí se
we learn,učíme se
you all learn,učíte se
they learn,učí se
to remember (recollect),vzpomenout si
I remember,vzpomenu si
you remember,vzpomeneš si
 he/she/it remembers,vzpomene si
we remember,vzpomeneme si
you all remember,vzpomenete si
they remember,vzpomenou si
to run,běžet
I run,běžím
you run,běžíš
he/she/it runs,běží
we run,běžíme
you all run,běžíte
they run,běží
to study,studovat
I study,studuji
you study,studuješ
he/she/it studies,studuje
we study,studujeme
you all study,studujete
they study,studují
to hear / be informed,dozvědět se
I hear (to be informed),dozvím se
you hear (to be informed),dozvíš se
he/she/it hears (to be informed),dozví se
we hear  (to be informed),dozvíme se
you all hear (to be informed),dozvíte se
they hear (to be informed),dozvědí se
to know,vědět
I know,vím
you know,víš
he/she/it knows,ví
we know,víme
you all know,víte
they know,vědí
to take (pf),vzít
I take (pf),vezmu
you take (pf),vezmeš
he/she/it takes (pf),vezme
we take (pf),vezmeme
you all take (pf),vezmete
they take (pf),vezmou
to see,vidět
I see,vidím
you see,vidíš
he/she/it sees,vidí
we see,vidíme
you all see,vidíte
they see,vidí
