english,czech
to understand,rozumět
I understand,rozumím
you understand,rozumíš
he/she/it understands,rozumí
we understand,rozumíme
you all understand,rozumíte
they understand,rozumí
to be able to,moci
I can,můžu
you can,můžeš
he/she/it can,může
we can,můžeme
you all can,můžete
they can,můžou
to have,mít
I have,mám
you have,máš
he/she/it has,má
we have,máme
you all have,máte
they have,mají
to forget,zapomenout
I forget,zapomenu
you forget,zapomeneš
he/she/it forgets,zapomene
we forget,zapomeneme
you all forget,zapomenete
they forget,zapomenou
to hate,nenávidět
I hate,nenávidím
you hate,nenávidíš
he/she/it hates,nenávidí
we hate,nenávidíme
you all hate,nenávidíte
they hate,nenávidí
to love,milovat
I love,miluji
you love,miluješ
he/she/it loves,miluje
we love,milujeme
you all love,milujete
they love,milují
to want,chtít
I want,chci
you want,chceš
he/she/it wants,chce
we want,chceme
you all want,chcete
they want,chtějí
to carry,nést
I carry,nesu
you carry,neseš
he/she/it carries,nese
we carry,neseme
you all carry,nesete
they carry,nesou
