english,czech
To phone,telefonovat
I phone,telefonuju
You phone,telefonuješ
He/she/it phones,telefonuje
We phone,telefonujeme
You all phone,telefonujete
They phone,telefonují
To work,pracovat
I work,pracuju
You work,pracuješ
He/she/it works,Pracuje
We work,Pracujeme
You all work,Pracujete
They work,Pracují
To play,Hrát
I play,hraju
You play,hraješ
He/she/it plays,hraje
We play,hrajeme
You all play,hrajete
They play,hrají
To get up,Vstávat
I get up,vstávám
You get up,Vstáváš
He/she/it gets up,Vstává
We get up,Vstáváme
You all get up,Vstáváte
They get up,Vatávají
To lunch,Obědvat
I lunch,Obědvám
You lunch,Obědváš
He/she/it lunches,Obědvá
We lunch,Obědváme
You all lunch,Obědváte
They lunch,Obědvají
To dine,Večeřet
I dine,Večeřím
You dine,Večeříš
He/she/it dines,Večeří
We dine,Večeříme
You all dine,Večeříte
They dine,Večeří
To cook,vařít
I cook,vařím
You cook,vaříš
He/she/it cooks,vaří
We cook,vaříme
You all cook,vaříte
They cook,vaří
